CR Map Number,Date,Total Magnetic Flux (Maxwell)
2192,2017-06,3.056469424837785e+23
2193,2017-07,2.71222235092386e+23
2194,2017-08,3.832394406296247e+23
2195,2017-09,3.314180195358928e+23
2196,2017-10,2.7655151818197272e+23
2197,2017-11,2.6548763581200462e+23
2198,2017-12,2.534923010015715e+23
2199,2017-12,2.3858033980320606e+23
2200,2018-01,2.4385704356339792e+23
2201,2018-02,2.2084591108994445e+23
2202,2018-03,2.2107718182537636e+23
2203,2018-04,2.4626980100405984e+23
2204,2018-05,2.414382737863204e+23
2205,2018-06,2.574148418927464e+23
2206,2018-07,2.4987915608227968e+23
2207,2018-08,2.3732346737680078e+23
2208,2018-09,2.3104738321875562e+23
2209,2018-09,2.296750164512758e+23
2210,2018-10,2.1856839778831867e+23
2211,2018-11,2.1968120661064822e+23
2212,2018-12,2.1596228594684733e+23
2213,2019-01,2.2417414973728614e+23
2214,2019-02,2.262447932555437e+23
2215,2019-03,2.2605390128377138e+23
2216,2019-04,2.4594104659839908e+23
2217,2019-05,2.4790355539120843e+23
2218,2019-06,2.276292849557997e+23
2219,2019-06,2.239239695270951e+23
2220,2019-07,2.2002794567367005e+23
2221,2019-08,2.1725132495805487e+23
2222,2019-09,2.1453343190578667e+23
2223,2019-10,2.1316722297702028e+23
2224,2019-11,2.1382785040001815e+23
2225,2019-12,2.124515144421414e+23
2226,2020-01,2.238546893766981e+23
2227,2020-02,2.082579934707291e+23
2228,2020-03,2.1090546622009716e+23
2229,2020-03,2.1139005275671038e+23
2230,2020-04,2.1456743830139608e+23
2231,2020-05,2.3497367925488658e+23
2232,2020-06,2.178709979321944e+23
2233,2020-07,2.436370796612509e+23
2234,2020-08,2.2844643602794546e+23
2235,2020-09,2.2923086085126873e+23
2236,2020-10,2.4701496412125667e+23
2237,2020-11,2.9638826701557604e+23
2238,2020-11,3.465143950188932e+23
2239,2020-12,2.7891863425174008e+23
2240,2021-01,2.4964937243134775e+23
2241,2021-02,2.547390835392643e+23
2242,2021-03,2.5444673701374305e+23
2243,2021-04,2.5461587533591375e+23
2244,2021-05,2.9265201133999992e+23
2245,2021-06,3.422917125471435e+23
2246,2021-07,3.08659910566669e+23
2247,2021-08,2.9835265729655888e+23
2248,2021-08,3.585453247297074e+23
2249,2021-09,3.3683052285939576e+23
2250,2021-10,3.742122132698752e+23
2251,2021-11,2.9943353367292983e+23
2252,2021-12,4.4954248433600785e+23
2253,2022-01,4.768138068768489e+23
2254,2022-02,4.283929409972622e+23
2255,2022-03,5.3073948143302266e+23
2256,2022-04,5.4985395533650435e+23
2257,2022-05,6.261361845179838e+23
2258,2022-05,5.3061068450568157e+23
2259,2022-06,6.213995703821051e+23
2260,2022-07,5.052719327987289e+23
2261,2022-08,5.183339252384398e+23
2262,2022-09,6.558142335577587e+23
2263,2022-10,5.126101236346739e+23
2264,2022-11,5.1885063973965166e+23
2265,2022-12,6.604244568272689e+23
2266,2023-01,8.494718873002834e+23
2267,2023-01,7.456444431092717e+23
2268,2023-02,7.056435113203769e+23
2269,2023-03,7.145780334741349e+23
2270,2023-04,7.082151192844654e+23
2271,2023-05,7.836737713644925e+23
2272,2023-06,7.755434003653872e+23
2273,2023-07,8.596795621710079e+23
2274,2023-08,7.376118304827574e+23
2275,2023-09,7.513084986131157e+23
2276,2023-10,7.237331872694015e+23
2277,2023-10,6.556166182787933e+23
2278,2023-11,7.427278819600344e+23
2279,2023-12,7.769768353591421e+23
2280,2024-01,7.899476775948535e+23
2281,2024-02,7.07225165665213e+23
2282,2024-03,6.724693264762024e+23
2283,2024-04,8.341971190110169e+23
2284,2024-05,8.983653500798569e+23
2285,2024-06,9.030302708225251e+23
